id,project_name,manager_id
1,Website Redesign,1
2,Product Launch,2
3,Recruitment Drive,3
4,Infrastructure Upgrade,4
5,Client Onboarding,5
6,Employee Training,6
7,Marketing Campaign,7
8,Customer Feedback,8
9,Security Enhancement,9
10,New Feature Development,10
11,System Optimization,11
12,Market Research,12
13,Software Migration,13
14,Network Expansion,14
15,Product Rebranding,15
16,Digital Transformation,16
17,Competitive Analysis,17
18,Budget Allocation,18
19,Process Improvement,19
20,Employee Wellness,20
